activation,layers,width,mse,mse_left,mse_right,train_time_sec
relu,2,18,17.38201892375946,16.30519676208496,1.0768221616744995,2.8253989219665527
relu,2,19,26.153806686401367,16.305198669433594,9.848608016967773,2.9002201557159424
relu,2,20,30.138710975646973,16.30519676208496,13.833514213562012,2.7611382007598877
relu,3,1,28.44900608062744,16.556522369384766,11.892483711242676,3.13728404045105
relu,3,2,54.28157997131348,16.556516647338867,37.72506332397461,3.4044296741485596
relu,3,3,19.09141755104065,16.556928634643555,2.5344889163970947,3.299515962600708
relu,3,4,17.196304619312286,16.58880043029785,0.6075041890144348,3.27531099319458
relu,3,5,27.953526496887207,16.305198669433594,11.648327827453613,3.374690055847168
relu,3,6,16.55305302143097,16.30519676208496,0.2478562593460083,3.2817001342773438
relu,3,7,16.581442713737488,16.305198669433594,0.27624404430389404,3.3690381050109863
relu,3,8,17.370665073394775,16.305198669433594,1.0654664039611816,3.2445952892303467
relu,3,9,16.903469920158386,16.30519676208496,0.5982731580734253,3.5158793926239014
relu,3,10,16.417539313435555,16.305198669433594,0.11234064400196075,3.407384157180786
relu,3,11,42.36294174194336,16.30519676208496,26.0577449798584,3.4130051136016846
relu,3,12,16.726670622825623,16.30519676208496,0.4214738607406616,3.2917439937591553
relu,3,13,17.478368639945984,16.305198669433594,1.1731699705123901,3.4537038803100586
relu,3,14,42.36294174194336,16.30519676208496,26.0577449798584,3.480329990386963
relu,3,15,16.384522907435894,16.30519676208496,0.07932614535093307,3.7553179264068604
